Designator,Mid X,Mid Y,Rotation,Layer
BRD11,391.537669,-32.582235,180.0,top
BRD12,363.417669,-32.582235,180.0,top
C1,33.75,-26.0,270.0,top
C2,36.0,-26.0,270.0,top
C4,18.0,-7.6625,90.0,top
C5,16.5,-11.75,90.0,top
C6,8.25,-12.25,0.0,top
C7,69.5,-7.25,0.0,top
C8,15.75,-6.5,90.0,top
CONN1,1.5,-28.81,0.0,top
CONN2,1.5,-108.0,180.0,top
CONN3,315.25,-28.81,0.0,top
CONN4,315.25,-108.19,180.0,top
CONN5,321.227669,-28.81,0.0,top
CONN6,321.227669,-108.172235,180.0,top
CONN7,407.727669,-28.81,0.0,top
CONN8,407.727669,-108.172235,180.0,top
D1,9.5,-26.0,90.0,bottom
D10,215.25,-27.0,90.0,bottom
D100,330.5,-125.85,90.0,bottom
D101,347.75,-125.85,90.0,bottom
D102,367.25,-125.859735,90.0,bottom
D103,385.5,-125.859735,90.0,bottom
D104,12.85,-26.3,180.0,top
D105,51.05,-26.3,180.0,top
D106,70.05,-26.3,180.0,top
D107,89.05,-26.3,180.0,top
D108,108.05,-26.3,180.0,top
D109,136.75,-26.3,180.0,top
D11,234.5,-27.0,90.0,bottom
D110,155.75,-26.3,180.0,top
D111,174.75,-26.3,180.0,top
D112,193.75,-26.3,180.0,top
D113,221.45,-26.3,180.0,top
D114,240.45,-26.3,180.0,top
D115,259.45,-26.3,180.0,top
D116,278.45,-26.3,180.0,top
D117,303.25,-26.3,180.0,top
D118,12.75,-50.1,180.0,top
D119,31.8,-50.1,180.0,top
D12,253.5,-27.0,90.0,bottom
D120,50.85,-50.1,180.0,top
D121,69.9,-50.1,180.0,top
D122,88.95,-50.1,180.0,top
D123,108.0,-50.1,180.0,top
D124,127.05,-50.1,180.0,top
D125,146.1,-50.1,180.0,top
D126,165.15,-50.1,180.0,top
D127,184.2,-50.1,180.0,top
D128,203.25,-50.1,180.0,top
D129,222.3,-50.1,180.0,top
D13,272.5,-27.0,90.0,bottom
D130,241.35,-50.1,180.0,top
D131,270.05,-50.1,180.0,top
D132,303.25,-50.1,180.0,top
D133,17.55,-69.15,180.0,top
D134,41.35,-69.15,180.0,top
D135,60.4,-69.15,180.0,top
D136,79.45,-69.15,180.0,top
D137,98.5,-69.15,180.0,top
D138,117.55,-69.15,180.0,top
D139,136.6,-69.15,180.0,top
D14,297.25,-27.0,90.0,bottom
D140,155.65,-69.15,180.0,top
D141,174.7,-69.15,180.0,top
D142,193.75,-69.15,180.0,top
D143,212.8,-69.15,180.0,top
D144,231.85,-69.15,180.0,top
D145,250.9,-69.15,180.0,top
D146,274.75,-69.15,180.0,top
D147,303.25,-69.15,180.0,top
D148,19.85,-88.2,180.0,top
D149,46.05,-88.2,180.0,top
D15,9.5,-50.75,90.0,bottom
D150,65.15,-88.2,180.0,top
D151,84.2,-88.2,180.0,top
D152,103.25,-88.2,180.0,top
D153,122.25,-88.2,180.0,top
D154,141.3,-88.2,180.0,top
D155,160.35,-88.2,180.0,top
D156,179.4,-88.2,180.0,top
D157,198.45,-88.2,180.0,top
D158,217.5,-88.2,180.0,top
D159,236.55,-88.2,180.0,top
D16,26.25,-50.75,90.0,bottom
D160,267.55,-88.2,180.0,top
D161,303.25,-88.2,180.0,top
D162,24.6,-107.25,180.0,top
D163,55.55,-107.25,180.0,top
D164,74.55,-107.25,180.0,top
D165,93.75,-107.25,180.0,top
D166,112.75,-107.25,180.0,top
D167,131.75,-107.25,180.0,top
D168,150.8,-107.25,180.0,top
D169,169.85,-107.25,180.0,top
D17,44.75,-50.75,90.0,bottom
D170,188.9,-107.25,180.0,top
D171,207.95,-107.25,180.0,top
D172,227.0,-107.25,180.0,top
D173,253.25,-107.25,180.0,top
D174,284.1,-112.0,180.0,top
D175,12.75,-126.3,180.0,top
D176,31.75,-126.35,180.0,top
D177,50.8,-126.3,180.0,top
D178,69.85,-126.3,180.0,top
D179,136.55,-126.3,180.0,top
D18,63.75,-50.75,90.0,bottom
D180,203.25,-126.3,180.0,top
D181,222.25,-126.3,180.0,top
D182,241.3,-126.3,180.0,top
D183,265.05,-131.05,180.0,top
D184,284.2,-131.05,180.0,top
D185,303.25,-131.05,180.0,top
D186,334.722669,-49.609735,180.0,top
D187,353.772669,-49.609735,180.0,top
D188,372.822669,-49.609735,180.0,top
D189,391.872669,-49.609735,180.0,top
D19,83.0,-50.9125,90.0,bottom
D190,334.722669,-68.659735,180.0,top
D191,353.772669,-68.659735,180.0,top
D192,372.822669,-68.659735,180.0,top
D193,391.872669,-68.659735,180.0,top
D194,334.722669,-87.709735,180.0,top
D195,353.772669,-87.709735,180.0,top
D196,372.822669,-87.709735,180.0,top
D197,391.872669,-87.709735,180.0,top
D198,334.722669,-106.759735,180.0,top
D199,353.772669,-106.759735,180.0,top
D2,43.75,-27.0,90.0,bottom
D20,102.0,-50.9125,90.0,bottom
D200,372.822669,-106.759735,180.0,top
D201,391.872669,-106.759735,180.0,top
D202,334.722669,-125.809735,180.0,top
D203,353.922669,-125.809735,180.0,top
D204,372.822669,-125.809735,180.0,top
D205,391.872669,-125.809735,180.0,top
D206,343.727669,-29.932235,180.0,top
D21,121.0,-50.75,90.0,bottom
D22,140.25,-50.75,90.0,bottom
D23,159.25,-50.75,90.0,bottom
D24,178.0,-50.75,90.0,bottom
D25,197.25,-50.75,90.0,bottom
D26,216.25,-50.75,90.0,bottom
D27,235.25,-50.75,90.0,bottom
D28,264.0,-50.75,90.0,bottom
D29,296.75,-50.75,90.0,bottom
D3,63.75,-27.0,90.0,bottom
D30,13.75,-69.5,90.0,bottom
D31,35.25,-69.75,90.0,bottom
D32,54.5,-69.75,90.0,bottom
D33,73.5,-69.75,90.0,bottom
D34,92.25,-69.75,90.0,bottom
D35,111.5,-69.75,90.0,bottom
D36,130.5,-69.75,90.0,bottom
D37,149.75,-69.75,90.0,bottom
D38,168.5,-69.75,90.0,bottom
D39,187.75,-69.75,90.0,bottom
D4,82.75,-27.0,90.0,bottom
D40,206.75,-69.75,90.0,bottom
D41,226.0,-69.75,90.0,bottom
D42,244.75,-69.75,90.0,bottom
D43,269.0,-69.75,90.0,bottom
D44,298.75,-69.75,90.0,bottom
D45,15.25,-88.75,90.0,bottom
D46,40.0,-89.0,90.0,bottom
D47,59.25,-89.0,90.0,bottom
D48,78.25,-89.0,90.0,bottom
D49,97.25,-89.0125,90.0,bottom
D5,102.0,-27.0,90.0,bottom
D50,116.25,-89.0,90.0,bottom
D51,135.25,-89.0125,90.0,bottom
D52,154.25,-89.0,90.0,bottom
D53,173.5,-89.0,90.0,bottom
D54,192.5,-89.0,90.0,bottom
D55,211.5,-89.0,90.0,bottom
D56,230.5,-89.0,90.0,bottom
D57,261.5,-89.0125,90.0,bottom
D58,297.25,-89.0,90.0,bottom
D59,19.75,-108.0,90.0,bottom
D6,130.5,-27.1,90.0,bottom
D60,49.5,-107.5,90.0,bottom
D61,68.75,-107.5,90.0,bottom
D62,87.75,-107.5,90.0,bottom
D63,106.75,-107.5,90.0,bottom
D64,126.0,-107.5,90.0,bottom
D65,144.75,-107.5,90.0,bottom
D66,164.0,-107.5,90.0,bottom
D67,183.0,-107.5,90.0,bottom
D68,202.0,-107.5,90.0,bottom
D69,221.25,-107.5,90.0,bottom
D7,149.75,-27.0,90.0,bottom
D70,247.0,-107.25,90.0,bottom
D71,278.25,-112.825,90.0,bottom
D72,9.0,-125.5,90.0,bottom
D73,25.75,-127.25,90.0,bottom
D74,44.75,-127.25,90.0,bottom
D75,63.75,-127.25,90.0,bottom
D76,130.75,-127.25,90.0,bottom
D77,197.25,-127.25,90.0,bottom
D78,216.25,-127.25,90.0,bottom
D79,235.25,-127.25,90.0,bottom
D8,168.75,-27.0,90.0,bottom
D80,259.0,-131.875,90.0,bottom
D81,278.25,-131.875,90.0,bottom
D82,297.25,-131.875,90.0,bottom
D83,11.75,-33.75,0.0,top
D84,329.0,-49.609735,90.0,bottom
D85,348.0,-49.5,90.0,bottom
D86,367.0,-49.531735,90.0,bottom
D87,385.25,-49.6,90.0,bottom
D88,329.0,-68.75,90.0,bottom
D89,348.0,-68.75,90.0,bottom
D9,187.5,-27.0,90.0,bottom
D90,367.0,-68.75,90.0,bottom
D91,386.0,-68.709735,90.0,bottom
D92,328.75,-87.6,90.0,bottom
D93,347.75,-87.6,90.0,bottom
D94,367.0,-87.6,90.0,bottom
D95,386.0,-87.6,90.0,bottom
D96,330.25,-106.0,90.0,bottom
D97,348.0,-106.75,90.0,bottom
D98,367.25,-106.75,90.0,bottom
D99,386.25,-106.75,90.0,bottom
J1,44.25,-2.4,180.0,top
J2,62.25,-2.25,90.0,top
R1,46.5,-10.25,270.0,top
R10,8.25,-33.75,270.0,top
R11,69.5,-4.75,0.0,top
R12,59.25,-22.0,90.0,top
R13,61.25,-23.25,90.0,top
R14,338.5,-30.0,90.0,top
R15,333.727669,-16.932235,270.0,top
R16,333.727669,-13.432235,270.0,top
R17,340.5,-30.0,270.0,top
R18,341.5,-33.5,90.0,top
R2,42.25,-10.0,270.0,top
R22,40.25,-17.5,90.0,top
R5,61.5,-17.5875,270.0,top
R6,20.25,-7.6625,270.0,top
R7,19.0,-4.6625,0.0,top
R8,59.25,-17.5875,90.0,top
R9,6.0,-33.75,270.0,top
SW1,12.85,-21.6,180.0,bottom
SW10,221.4475,-21.6,180.0,bottom
SW100,353.922669,-121.159735,180.0,bottom
SW101,372.972669,-121.159735,180.0,bottom
SW102,392.022669,-121.159735,180.0,bottom
SW11,240.4975,-21.6,180.0,bottom
SW12,259.5475,-21.6,180.0,bottom
SW13,278.5975,-21.6,180.0,bottom
SW14,303.3625,-21.6,180.0,bottom
SW15,12.85,-45.4125,180.0,bottom
SW16,31.9,-45.4125,180.0,bottom
SW17,50.95,-45.4125,180.0,bottom
SW18,70.0,-45.4125,180.0,bottom
SW19,89.05,-45.4125,180.0,bottom
SW2,50.95,-21.6,180.0,bottom
SW20,108.1,-45.4125,180.0,bottom
SW21,127.15,-45.4125,180.0,bottom
SW22,146.2,-45.4125,180.0,bottom
SW23,165.25,-45.4125,180.0,bottom
