Designator,Footprint,Quantity,Value,LCSC Part #
BRD1,OLED-TH_L38.0-W12.0_HS91L02W2C01,1,SH1106,
BRD2,128x64OLED,1,SH1106,
"C1, C2, C3, C4",0805,4,10uF,C15850
"C5, C6",0805,2,4.7uF,C1779
"C7, C8",1206,2,22uF,
"CONN1, CONN3, CONN5, CONN7",Pogopin_Conn_1x4_Female,4,Conn_01x04_Pin,
"CONN2, CONN4, CONN6, CONN8",Pogopin_Conn_1x4_Male,4,Conn_01x04_Pin,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-123,99,D,C2099
"ESD1, ESD2",SOT-23-3,2,ESDA5V3L,C587142
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
J2,PinHeader_2x03_P1.00mm_Vertical,1,Conn_02x03_Odd_Even,C6837603
L1,0805,1,10uH,
L2,IND-SMD_L7.1-W6.6,1,22uH,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED83, LED84, LED85, LED86, LED87, LED88, LED89, LED9, LED90, LED91, LED92, LED93, LED94, LED95, LED96, LED97, LED98, LED99",LED,99,SK6803MINI-E,
"Q1, Q2, Q3",SOT-23,3,Q_PMOS_GSD,C10487
R1,0805,1,110k,
"R10, R17, R22",0805,3,2M,C26112
"R11, R8",0805,2,27R,C17594
"R12, R18, R20, R7",0805,4,4K7,C17673
R13,0805,1,15k,
"R14, R19",0805,2,10K,C17414
R15,0805,1,2K,C17604
"R16, R21, R9",0805,3,806K,C2933502
"R2, R4",0805,2,5K1,C27834
"R3, R5, R6",0805,3,100K,C2933502
RE1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,1,RotaryEncoder_Switch,
SPDT1,1825232-1,1,SW_SPDT,
SS34,SS34,1,D,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW29, SW3, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW44, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW58, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW71, SW72, SW73, SW74, SW75, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW85, SW86, SW87, SW88, SW89, SW9, SW91, SW92, SW93, SW94, SW95, SW96, SW99",MX_HS_1u,88,SW_Push,C5333465
"SW28, SW98",MX_HS_2u,2,SW_Push,C5333465
"SW30, SW43",MX_HS_1.5u,2,SW_Push,C5333465
"SW45, SW70",MX_HS_1.75u,2,SW_Push,C5333465
"SW57, SW59",MX_HS_2.25u,2,SW_Push,C5333465
SW76,MX_HS_6u,1,SW_Push,C5333465
"SW90, SW97",MX_HS_2u_90deg,2,SW_Push,C5333465
U1,SOT-23-6,1,MT3608,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,USB6B1,C283483
U3,Raytac_MDBT50Q,1,MDBT50Q-1MV2,C5118826
U4,SOT-23-5,1,MCP73831-2-OT,C424093
U5,modified-XIAO-nRF52840-SMD,1,XIAO-nRF52840-SMD,C37327670
U6,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,MCP23017_ML,C639770
"U7, U8",SC-74A-5_1.55x2.9mm_P0.95mm,2,74LV1T08GV,
