Designator,Mid X,Mid Y,Rotation,Layer
BRD1,55.9,-5.99,0.0,top
BRD2,391.81,-31.75,180.0,top
C1,16.25,-12.0,0.0,top
C2,36.5,-28.75,270.0,top
C3,39.0,-28.75,270.0,top
C4,34.5,-29.0,90.0,bottom
C5,20.75,-4.0,180.0,bottom
C6,12.25,-2.0,0.0,top
C7,11.5,-10.5,180.0,bottom
C8,3.0,-22.0,0.0,bottom
CONN1,1.5,-28.81,0.0,top
CONN2,1.5,-108.0,180.0,top
CONN3,312.75,-28.81,0.0,top
CONN4,312.75,-108.19,180.0,top
CONN5,325.0,-28.81,0.0,top
CONN6,325.0,-108.19,180.0,top
CONN7,408.0,-28.81,0.0,top
CONN8,408.0,-108.19,180.0,top
D1,19.0,-25.5,90.0,bottom
D10,228.25,-24.75,90.0,bottom
D11,247.25,-24.63,90.0,bottom
D12,266.5,-24.63,90.0,bottom
D13,284.5,-25.5,90.0,bottom
D14,307.75,-25.75,90.0,bottom
D15,17.25,-50.25,90.0,bottom
D16,37.5,-49.5,90.0,bottom
D17,55.25,-49.25,90.0,bottom
D18,74.25,-49.25,90.0,bottom
D19,93.25,-49.25,90.0,bottom
D2,57.5,-26.0,90.0,bottom
D20,112.5,-49.25,90.0,bottom
D21,131.25,-49.5,90.0,bottom
D22,150.5,-49.5,90.0,bottom
D23,169.346035,-49.25,90.0,bottom
D24,188.5,-49.25,90.0,bottom
D25,207.446035,-49.5,90.0,bottom
D26,226.5,-49.25,90.0,bottom
D27,245.546035,-49.5,90.0,bottom
D28,274.5,-49.75,90.0,bottom
D29,307.5,-50.0,90.0,bottom
D3,76.75,-25.5,90.0,bottom
D30,21.75,-68.5,90.0,bottom
D31,46.5,-68.321967,90.0,bottom
D32,66.0,-68.75,90.0,bottom
D33,85.0,-68.25,90.0,bottom
D34,104.0,-68.25,90.0,bottom
D35,123.0,-68.25,90.0,bottom
D36,142.25,-68.75,90.0,bottom
D37,161.0,-68.75,90.0,bottom
D38,180.25,-68.5,90.0,bottom
D39,199.25,-68.75,90.0,bottom
D4,95.75,-25.75,90.0,bottom
D40,218.5,-68.75,90.0,bottom
D41,237.25,-69.0,90.0,bottom
D42,256.25,-68.75,90.0,bottom
D43,280.25,-68.75,90.0,bottom
D44,307.5,-68.75,90.0,bottom
D45,24.5,-87.75,90.0,bottom
D46,51.5,-87.75,90.0,bottom
D47,70.5,-87.25,90.0,bottom
D48,89.5,-87.25,90.0,bottom
D49,108.0,-87.75,90.0,bottom
D5,113.75,-25.5,90.0,bottom
D50,127.0,-87.75,90.0,bottom
D51,146.0,-87.5,90.0,bottom
D52,165.25,-87.5,90.0,bottom
D53,183.75,-87.5,90.0,bottom
D54,204.25,-87.25,90.0,bottom
D55,222.25,-87.75,90.0,bottom
D56,241.0,-87.5,90.0,bottom
D57,274.25,-87.25,90.0,bottom
D58,308.25,-88.0,90.0,bottom
D59,28.852285,-106.75,90.0,bottom
D6,142.5,-25.5,90.0,bottom
D60,60.0,-106.75,90.0,bottom
D61,80.75,-106.5,90.0,bottom
D62,97.908535,-106.75,90.0,bottom
D63,118.25,-106.75,90.0,bottom
